date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2019/1/24,2584.65,2597.29,2591.69,2569.7,1540420.5,10.69,0.41,2591.782,2574.891,2540.385,1584397.95,1558503.74,1506164.53
2019/1/25,2596.26,2617,2601.72,2595.63,1593940.25,10.03,0.39,2592.924,2579.68,2545.557,1521651.52,1568453.66,1531461.73
2019/1/28,2615.71,2630.32,2596.98,2591.1,1469817.62,-4.74,-0.18,2590.218,2585.801,2551.251,1488764.82,1570609.96,1537249.19
2019/1/29,2592.35,2601.74,2594.25,2559.98,1555811.12,-2.73,-0.1,2593.128,2588.192,2556.269,1494851.5,1565925.55,1555417.12
2019/1/30,2584.75,2598.82,2575.58,2575.41,1205025.75,-18.67,-0.72,2592.044,2588.708,2561.783,1473003.05,1537126.59,1560702.41
2019/1/31,2581.33,2606.63,2584.57,2571.58,1543038.75,8.99,0.35,2590.62,2591.201,2567.794,1473526.7,1528962.32,1575655.59
2019/2/1,2597.78,2618.48,2618.23,2590.55,1319868.5,33.66,1.3,2593.922,2593.423,2572.962,1418712.35,1470181.94,1557210.19
2019/2/11,2613.17,2654.1,2653.9,2613.17,1548988.62,35.67,1.36,2605.306,2597.762,2579.002,1434546.55,1461655.69,1546007.11
2019/2/12,2654.03,2674.48,2671.89,2648.83,1841011.75,17.99,0.68,2620.834,2606.981,2586.274,1491586.67,1493219.09,1559008.11
2019/2/13,2674.52,2727.08,2721.07,2666.52,2437940,49.18,1.84,2649.932,2620.988,2595.11,1738169.52,1605586.29,1584961.15
2019/2/14,2715.54,2729.46,2719.7,2707.49,1970373.5,-1.37,-0.05,2676.958,2633.789,2604.34,1823636.47,1648581.59,1603542.66
2019/2/15,2712.79,2715.63,2682.39,2679.78,1960042.62,-37.31,-1.37,2689.79,2641.856,2610.768,1951671.3,1685191.82,1626822.74
2019/2/18,2699.82,2754.36,2754.36,2699.82,2604360,71.97,2.68,2709.882,2657.594,2621.698,2162745.57,1798646.06,1684628.01
2019/2/19,2759.5,2780.78,2755.65,2737.59,2880462.75,1.29,0.05,2726.634,2673.734,2630.963,2370635.77,1931111.22,1748518.39
2019/2/20,2761.06,2767.41,2761.22,2739.98,2459725.25,5.57,0.2,2734.664,2692.298,2640.503,2374992.82,2056581.17,1796853.88
2019/2/21,2759.94,2794.01,2751.8,2744.98,2986499.75,-9.42,-0.34,2741.084,2709.021,2650.111,2578218.07,2200927.27,1864944.8
2019/2/22,2749.46,2804.23,2804.23,2736.33,3014814,52.43,1.91,2765.452,2727.621,2660.522,2789172.35,2370421.82,1920301.88
2019/2/25,2838.39,2961.8,2961.28,2838.39,5286586,157.05,5.6,2806.836,2758.359,2678.061,3325617.55,2744181.56,2102918.62
2019/2/26,2969.1,2995.68,2941.52,2938.62,5655579.5,-19.76,-0.67,2844.01,2785.322,2696.152,3880640.9,3125638.34,2309428.71
2019/2/27,2939.93,2997.49,2953.82,2924.64,4749764.5,12.3,0.42,2882.53,2808.597,2714.793,4338648.75,3356820.79,2481203.54
2019/2/28,2950.05,2965.3,2940.95,2930.2,3502066,-12.87,-0.44,2920.36,2830.722,2732.256,4441762,3509990.04,2579285.81
2019/3/1,2954.4,2994.01,2994.01,2930.83,3457862,53.06,1.8,2958.316,2861.884,2751.87,4530371.6,3659771.98,2672481.9
2019/3/4,3015.94,3090.8,3027.58,3006.94,5256494.5,33.57,1.12,2971.576,2889.206,2773.4,4524353.3,3924985.43,2861815.74
2019/3/5,3019.88,3054.96,3054.25,3009.45,4241425.5,26.67,0.88,2994.122,2919.066,2796.4,4241522.5,4061081.7,2996096.46
2019/3/6,3060.43,3103.83,3102.1,3050.11,5550063.5,47.85,1.57,3023.778,2953.154,2822.726,4401582.3,4370115.53,3213348.35
2019/3/7,3103.67,3129.94,3106.42,3074.98,5838170.5,4.32,0.14,3056.872,2988.616,2848.819,4868803.2,4655282.6,3428104.94
2019/3/8,3038.34,3075.05,2969.86,2969.58,5778554.5,-136.56,-4.4,3052.042,3005.179,2866.4,5332941.7,4931656.65,3651039.24
2019/3/11,2969.08,3028.25,3026.99,2963.58,4262130.5,57.13,1.92,3051.924,3011.75,2885.055,5134068.9,4829211.1,3786696.33
2019/3/12,3049.08,3093.39,3060.31,3029.9,5111731.5,33.32,1.1,3053.136,3023.629,2904.476,5308130.1,4774826.3,3950232.32
2019/3/13,3062.33,3065.29,3026.95,3013.93,4532146,-33.36,-1.09,3038.106,3030.942,2919.77,5104546.6,4753064.45,4054942.62
2019/3/14,3013.6,3041.16,2990.69,2968.82,3731418,-36.26,-1.2,3014.96,3035.916,2933.319,4683196.1,4775999.65,4142994.84
2019/3/15,3000.88,3048.12,3021.75,2999.43,3412061.5,31.06,1.04,3025.338,3038.69,2950.287,4209897.5,4771419.6,4215595.79
2019/3/18,3027.8,3096.42,3096.42,3009.51,3977971.75,74.67,2.47,3039.224,3045.574,2967.39,4153065.75,4643567.33,4284276.38
2019/3/19,3099.9,3113.43,3090.98,3076.36,3509088.5,-5.44,-0.18,3045.358,3049.247,2984.157,3832537.15,4570333.63,4315707.66
2019/3/20,3084.17,3102.52,3090.64,3053.45,3585575,-0.34,-0.01,3058.096,3048.101,3000.628,3643222.95,4373884.78,4372000.15
2019/3/21,3094.12,3125.02,3101.46,3086.85,4142511.75,10.82,0.35,3080.25,3047.605,3018.111,3725441.7,4204318.9,4429800.75
2019/3/22,3100.73,3107.28,3104.15,3064.88,3648483.5,2.69,0.09,3096.73,3061.034,3033.107,3772726.1,3991311.8,4461484.23
2019/3/25,3058.8,3087,3043.03,3041.95,3802787.5,-61.12,-1.97,3086.052,3062.638,3037.194,3737689.25,3945377.5,4387294.3
2019/3/26,3057.56,3062.69,2997.1,2988.49,3534980.25,-45.93,-1.51,3067.276,3056.317,3039.973,3742867.6,3787702.38,4281264.34
2019/3/27,3012.26,3022.76,3022.72,2987.77,2913903.5,25.62,0.85,3053.692,3055.894,3043.418,3608533.3,3625878.13,4189471.29
2019/3/28,3009.8,3025.78,2994.94,2991.78,2881064.25,-27.78,-0.92,3032.388,3056.319,3046.118,3356243.8,3540842.75,4158421.2
2019/3/29,3000.68,3093.03,3090.76,2999.99,3750830,95.82,3.2,3029.71,3063.22,3050.955,3376713.1,3574719.6,4173069.6
2019/4/1,3111.66,3176.62,3170.36,3111.66,4661247,79.6,2.58,3055.176,3070.614,3058.094,3548405,3643047.13,4143307.23
2019/4/2,3183.27,3193.27,3176.82,3164.91,4470690,6.46,0.2,3091.12,3079.198,3064.223,3735546.95,3739207.28,4154770.45
2019/4/3,3159.15,3219.26,3216.3,3152.33,4305486.5,39.48,1.24,3129.836,3091.764,3069.933,4013863.55,3811198.43,4092541.6
2019/4/4,3233.69,3254.14,3246.57,3216.85,4691176.5,30.27,0.94,3180.162,3106.275,3076.94,4375886,3866064.9,4035191.9
2019/4/8,3271.27,3288.45,3244.81,3210.52,5045184,-1.76,-0.05,3210.972,3120.341,3090.688,4634756.8,4005734.95,3998523.38
2019/4/9,3240.39,3251.65,3239.66,3215.7,3641700,-5.15,-0.16,3224.832,3140.004,3101.321,4430847.4,3989626.2,3967501.85
2019/4/10,3224.65,3264.78,3241.93,3204.88,3801344,2.27,0.07,3237.854,3164.487,3110.402,4296978.2,4016262.58,3901982.48
2019/4/11,3241.55,3254.13,3189.96,3185.55,3530318.75,-51.97,-1.6,3232.586,3181.211,3118.553,4141944.65,4077904.1,3851891.11
2019/4/12,3184.86,3199.28,3188.63,3168.04,2897890,-1.33,-0.04,3220.998,3200.58,3128.45,3783287.35,4079586.68,3810214.71
2019/4/15,3233.46,3253.98,3177.79,3177.27,3488097.75,-10.84,-0.34,3207.594,3209.283,3136.252,3471870.1,4053313.45,3814016.53
2019/4/16,3164.4,3253.6,3253.6,3153.21,3579187.5,75.81,2.39,3210.382,3217.607,3144.111,3459367.6,3945107.5,3794077.31
2019/4/17,3250.15,3275.33,3263.12,3239.8,3575418,9.52,0.29,3214.62,3226.237,3152.718,3414182.4,3855580.3,3797393.79
2019/4/18,3261.07,3271.39,3250.2,3241.83,3255399.5,-12.92,-0.4,3226.668,3229.627,3160.696,3359198.55,3750571.6,3780885.01
2019/4/19,3250.15,3274.33,3270.8,3226.81,3151980,20.6,0.63,3243.102,3232.05,3169.163,3410016.55,3596651.95,3731358.43
2019/4/22,3278.49,3279.49,3215.04,3206.88,3532173.75,-55.76,-1.71,3250.552,3229.073,3174.707,3418831.75,3445350.93,3725542.94
2019/4/23,3211.87,3231.58,3198.59,3186.76,3283612,-16.45,-0.51,3239.55,3224.966,3182.485,3359716.65,3409542.13,3699584.16
2019/4/24,3203.56,3210.65,3201.61,3156.61,2748721.75,3.02,0.09,3227.248,3220.934,3192.711,3194377.4,3304279.9,3660271.24
2019/4/25,3190.59,3193.75,3123.83,3123.03,3258791.25,-77.78,-2.43,3201.974,3214.321,3197.766,3195055.75,3277127.15,3677515.63
2019/4/26,3108.16,3129.21,3086.4,3085.8,2808738.5,-37.43,-1.2,3165.094,3204.098,3202.339,3126407.45,3268212,3673899.34
2019/4/29,3090.63,3107.76,3062.5,3050.03,2921148.75,-23.9,-0.77,3134.586,3192.569,3200.926,3004202.45,3211517.1,3632415.28
2019/4/30,3052.62,3088.41,3078.34,3052.62,2223025.25,15.84,0.52,3110.536,3175.043,3196.325,2792085.1,3075900.88,3510504.19
2019/5/6,2984.73,2986.54,2906.46,2876.47,3269722.75,-171.88,-5.58,3051.506,3139.377,3182.807,2896285.3,3045331.35,3450455.83
2019/5/7,2914.29,2937.28,2926.39,2889.07,2532817.75,19.93,0.69,3012.018,3106.996,3168.312,2751090.6,2973073.18,3361822.39
2019/5/8,2873.14,2929.43,2893.76,2866.7,2315305.25,-32.63,-1.11,2973.49,3069.292,3150.671,2652403.95,2889405.7,3243028.83
2019/5/9,2871.2,2888.86,2850.95,2845.04,2000411.38,-42.81,-1.48,2931.18,3032.883,3130.978,2468256.48,2736229.46,3090790.19
2019/5/10,2878.23,2941.45,2939.21,2838.38,2823068,88.26,3.1,2903.354,3006.945,3115.956,2588265.03,2690175.06,3049858.59
2019/5/13,2905.07,2921.41,2903.71,2892.17,2120298.75,-35.5,-1.21,2902.804,2977.155,3099.045,2358380.23,2627332.76,2965806.33
2019/5/14,2872.83,2909.2,2883.61,2872.83,2083453.5,-20.1,-0.69,2894.248,2953.133,3083.727,2268507.38,2509798.99,2893463.07
2019/5/15,2902.64,2945.39,2938.68,2902.64,2305197,55.07,1.91,2903.232,2938.361,3071.23,2266485.73,2459444.84,2863828.42
2019/5/16,2933.5,2956.17,2955.71,2929.06,2483857,17.03,0.58,2924.184,2927.682,3060.126,2363174.85,2415715.66,2813616.38
2019/5/17,2955.77,2956.78,2882.3,2873.8,2663016.5,-73.41,-2.48,2912.802,2908.078,3041.561,2331164.55,2459714.79,2767807.83
2019/5/20,2874.8,2882.63,2870.6,2838.45,2094724.38,-11.7,-0.41,2906.18,2904.492,3021.935,2326049.68,2342214.95,2693773.15
2019/5/21,2867.71,2919.24,2905.97,2862.5,2113870.25,35.37,1.23,2910.652,2902.45,3004.723,2332133.03,2300320.2,2636696.69
2019/5/22,2905.52,2912.4,2891.7,2879.64,2000269,-14.27,-0.49,2901.256,2902.244,2985.768,2271147.43,2268816.58,2579111.14
2019/5/23,2880.84,2885.14,2852.52,2846.96,1973403.12,-39.18,-1.35,2880.618,2902.401,2967.642,2169056.65,2266115.75,2501172.61
2019/5/24,2847.84,2871.86,2852.99,2846.02,1672054.88,0.47,0.02,2874.756,2893.779,2950.362,1970864.33,2151014.44,2420594.75
2019/5/27,2851.28,2898.13,2892.38,2833.04,1967209,39.39,1.38,2879.112,2892.646,2934.901,1945361.25,2135705.46,2381519.11
2019/5/28,2890.27,2924.04,2909.91,2887.08,2233105.5,17.53,0.61,2879.9,2895.276,2924.205,1969208.3,2150670.66,2330234.83
2019/5/29,2894.83,2934.98,2914.7,2890.66,1989588.25,4.79,0.17,2884.5,2892.878,2915.62,1967072.15,2119109.79,2289277.31
2019/5/30,2903.42,2907.85,2905.81,2881.38,2057587.88,-8.89,-0.3,2895.158,2887.888,2907.785,1983909.1,2076482.88,2246099.27
2019/5/31,2904.5,2922.91,2898.7,2895.58,1952305.75,-7.11,-0.24,2904.3,2889.528,2898.803,2039959.28,2005411.8,2232563.29
2019/6/3,2901.74,2920.83,2890.08,2875.9,2159435.5,-8.62,-0.3,2903.84,2891.476,2897.984,2078404.58,2011882.91,2177048.93
2019/6/4,2887.64,2888.39,2862.28,2851.97,1884635.38,-27.8,-0.96,2894.314,2887.107,2894.779,2008710.55,1988959.43,2144639.81
2019/6/5,2882.94,2888.77,2861.42,2858.57,1815610.5,-0.86,-0.03,2883.658,2884.079,2893.162,1973915,1970493.58,2119655.08
2019/6/6,2862.33,2862.33,2827.8,2822.19,1770644.12,-33.62,-1.18,2868.056,2881.607,2892.004,1916526.25,1950217.68,2108166.71
2019/6/10,2833.01,2861.13,2852.13,2824.36,1665859.12,24.33,0.86,2858.742,2881.521,2887.65,1859236.92,1949598.1,2050306.27
2019/6/11,2854.07,2927.43,2925.72,2854.07,2605258,73.59,2.58,2865.87,2884.855,2888.751,1948401.42,2013403,2074554.23
2019/6/12,2917.22,2924.7,2909.38,2903.88,2402557.75,-16.34,-0.56,2875.29,2884.802,2890.039,2051985.9,2030348.23,2090509.44
2019/6/13,2905.29,2918.42,2910.74,2885.92,2129578,1.36,0.05,2885.154,2884.406,2888.642,2114779.4,2044347.2,2081728.49
2019/6/14,2913,2924.32,2881.97,2879.66,2154358,-28.77,-0.99,2895.988,2882.022,2884.955,2191522.17,2054024.21,2065253.54
2019/6/17,2880.42,2902.48,2887.62,2877.39,1539649.62,5.65,0.2,2903.086,2880.914,2885.221,2166280.27,2012758.6,2009085.2
2019/6/18,2891.09,2898.33,2890.16,2874.31,1477053.25,2.54,0.09,2895.974,2880.922,2886.199,1940639.32,1944520.37,1978201.64
2019/6/19,2944.12,2953.34,2917.8,2916.21,2307569.75,27.64,0.96,2897.658,2886.474,2886.791,1921641.72,1986813.81,1987886.62
